epoch,train_loss,val_loss,val_precision,val_recall,val_f1,fold
1,0.010795517508040494,0.004958988359523198,0.6091055870056152,0.36859095096588135,0.45926475524902344,3
2,0.003498238334782115,0.002404584704587857,0.6576427221298218,0.3866076171398163,0.4869515299797058,3
3,0.0017380348857815421,0.0012708393753402764,0.6977547407150269,0.33360859751701355,0.4513965845108032,3
4,0.0009559572001457654,0.0007346611689879663,0.600947380065918,0.35237595438957214,0.4442550837993622,3
5,0.0005574222442828125,0.00043605936742905114,0.5792471766471863,0.3893101215362549,0.46565496921539307,3
6,0.0003443661521039803,0.00029289730203648406,0.4222134053707123,0.6395165324211121,0.5086272954940796,3
7,0.00022347204826400684,0.00021396676565350463,0.41770198941230774,0.7521207332611084,0.5371109247207642,3
8,0.00015168744096680743,0.00016438695133223923,0.42699486017227173,0.781322717666626,0.5522071123123169,3
9,0.00010454126360158941,0.00015401012194435305,0.4051879644393921,0.7750919461250305,0.5321752429008484,3
10,7.480063308230293e-05,0.00014269985423731943,0.4060264229774475,0.8051947951316833,0.5398358702659607,3
11,5.475627784007054e-05,0.00013598580196793635,0.4095630943775177,0.8198333382606506,0.5462411046028137,3
12,4.103165530802287e-05,6.536622383883076e-05,0.5759912729263306,0.829892635345459,0.6800147294998169,3
13,3.247014456959641e-05,0.00015115864138467246,0.3864133059978485,0.8228361010551453,0.5258713364601135,3
14,2.561730982185227e-05,7.350446437143661e-05,0.43969425559043884,0.8809398412704468,0.5866032838821411,3
15,2.0385208659060735e-05,0.00012527064584915817,0.40090468525886536,0.8582689166069031,0.5465235114097595,3
16,1.6863260662539494e-05,0.00012028792405053826,0.40751463174819946,0.9086405038833618,0.5626756548881531,3
17,1.4280609642995783e-05,5.513893736658954e-05,0.465572327375412,0.7217926383018494,0.566037654876709,3
18,1.1590581274250263e-05,5.529304098672583e-05,0.46941110491752625,0.8928008675575256,0.615308940410614,3
19,1.0194700010325637e-05,2.4863470939419042e-05,0.7089526057243347,0.9024097323417664,0.7940680980682373,3
20,1.0133745308523629e-05,2.029067309916764e-05,0.6701278686523438,0.9205014705657959,0.77560955286026,3
21,8.058077199000337e-06,1.5682384054387166e-05,0.767457902431488,0.9174236059188843,0.8357667326927185,3
22,6.9276737472600725e-06,6.6727223109785606e-06,0.9123285412788391,0.9288341999053955,0.9205073714256287,3
23,6.244447969593255e-06,1.3552970221286477e-05,0.7851991057395935,0.9398694038391113,0.8556002378463745,3
24,5.519389748016452e-06,3.3535419507166984e-05,0.6196290850639343,0.902860164642334,0.7348995804786682,3
25,5.602787591759252e-06,6.120508400965177e-06,0.917549192905426,0.9105923175811768,0.9140574932098389,3
26,4.7119168533842275e-06,8.441186273846561e-06,0.891054093837738,0.889047384262085,0.8900495171546936,3
27,4.909052176742026e-06,8.881548681182765e-06,0.8608030676841736,0.9382178783416748,0.8978447318077087,3
28,4.746376088216936e-06,5.797136368744846e-06,0.9244763851165771,0.9078897833824158,0.9161079525947571,3
29,5.166481193070381e-06,6.533202063038184e-06,0.8723418712615967,0.9485023617744446,0.9088293313980103,3
