fold,best_epoch,val_loss,val_f1,val_precision,val_recall
1,94.0,2.607194530194571e-06,0.9540041089057922,0.9510520696640015,0.9569746255874634
2,96.0,2.272904749424626e-06,0.9643121957778931,0.9672619104385376,0.9613804221153259
3,100.0,2.4748168171422477e-06,0.9627771973609924,0.9743983745574951,0.951430082321167
4,93.0,2.587930240771641e-06,0.9633611440658569,0.9688097834587097,0.9579735398292542
